Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Noise_00	2016-02-01 00:00:00	2016-02-01 03:00:00	2016-02-01 03:00:01	noise0	
S	0	0	Noise_01	2016-02-01 03:00:01	2016-02-01 03:00:01	2016-02-01 03:07:42	noise0	
S	0	0	Noise_20	2016-02-01 03:07:42	2016-02-01 03:07:42	2016-02-01 03:35:28	noise2	
S	0	0	Noise_30	2016-02-01 03:35:28	2016-02-01 03:35:28	2016-02-01 05:35:22	noise3	
S	0	4	Noise_00	2016-02-01 07:45:07	2016-02-01 07:45:07	2016-02-01 07:45:09	noise0	
S	0	4	Noise_01	2016-02-01 07:45:09	2016-02-01 07:45:09	2016-02-01 07:52:14	noise0	
S	0	7	Noise_00	2016-02-01 08:05:55	2016-02-01 08:05:55	2016-02-01 08:05:56	noise0	
S	0	7	Noise_01	2016-02-01 08:05:56	2016-02-01 08:05:56	2016-02-01 08:10:21	noise0	
S	0	7	Noise_20	2016-02-01 08:10:21	2016-02-01 08:10:21	2016-02-01 08:33:34	noise2	
S	0	4	Noise_10	2016-02-01 07:52:14	2016-02-01 07:52:14	2016-02-01 08:49:25	noise1	
S	0	4	Noise_11	2016-02-01 08:49:25	2016-02-01 08:49:25	2016-02-01 08:49:27	noise1	
S	0	7	Noise_40	2016-02-01 08:33:34	2016-02-01 08:33:34	2016-02-01 08:56:31	noise4	
S	0	12	Noise_00	2016-02-01 10:01:37	2016-02-01 10:01:37	2016-02-01 10:01:38	noise0	
S	0	12	Noise_01	2016-02-01 10:01:38	2016-02-01 10:01:38	2016-02-01 10:08:35	noise0	
S	0	14	Noise_00	2016-02-01 10:24:46	2016-02-01 10:24:46	2016-02-01 10:24:47	noise0	
S	0	14	Noise_01	2016-02-01 10:24:47	2016-02-01 10:24:47	2016-02-01 10:25:30	noise0	
S	0	7	Noise_30	2016-02-01 08:33:34	2016-02-01 08:33:34	2016-02-01 10:30:59	noise3	
S	0	12	Noise_20	2016-02-01 10:08:35	2016-02-01 10:08:35	2016-02-01 10:35:22	noise2	
S	0	14	Noise_20	2016-02-01 10:25:30	2016-02-01 10:25:30	2016-02-01 10:53:01	noise2	
S	0	1	Traer informacion estudiante - banner	2016-02-01 06:22:18	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	2	Traer informacion estudiante - banner	2016-02-01 06:28:37	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	3	Traer informacion estudiante - banner	2016-02-01 06:32:29	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	5	Traer informacion estudiante - banner	2016-02-01 07:48:41	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	6	Traer informacion estudiante - banner	2016-02-01 07:55:15	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	8	Traer informacion estudiante - banner	2016-02-01 08:06:08	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	9	Traer informacion estudiante - banner	2016-02-01 09:11:40	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	10	Traer informacion estudiante - banner	2016-02-01 09:27:16	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	11	Traer informacion estudiante - banner	2016-02-01 09:57:34	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	13	Traer informacion estudiante - banner	2016-02-01 10:20:17	2016-02-01 12:00:00	2016-02-01 12:00:01	role0	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:00:10	role0	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:00:58	role0	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:03:18	role0	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:04:10	role0	
S	0	8	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:04:31	role0	
S	0	1	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:08:25	role0	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:08:31	role0	
S	0	3	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:09:05	role0	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 12:00:01	2016-02-01 12:00:01	2016-02-01 12:10:31	role0	
