Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	1	Noise_00	2016-02-01 06:00:59	2016-02-01 06:00:59	2016-02-01 06:01:01	noise0	
S	0	1	Noise_01	2016-02-01 06:01:01	2016-02-01 06:01:01	2016-02-01 06:08:42	noise0	
S	0	3	Noise_00	2016-02-01 06:42:19	2016-02-01 06:42:19	2016-02-01 06:42:21	noise0	
S	0	3	Noise_01	2016-02-01 06:42:21	2016-02-01 06:42:21	2016-02-01 06:49:26	noise0	
S	0	4	Noise_00	2016-02-01 07:01:25	2016-02-01 07:01:25	2016-02-01 07:01:26	noise0	
S	0	4	Noise_01	2016-02-01 07:01:26	2016-02-01 07:01:26	2016-02-01 07:05:51	noise0	
S	0	1	Noise_20	2016-02-01 06:08:42	2016-02-01 07:00:00	2016-02-01 07:27:45	noise2	
S	0	4	Noise_20	2016-02-01 07:05:51	2016-02-01 07:05:51	2016-02-01 07:29:04	noise2	
S	0	3	Noise_10	2016-02-01 06:49:26	2016-02-01 07:00:00	2016-02-01 07:57:10	noise1	
S	0	3	Noise_11	2016-02-01 07:57:10	2016-02-01 07:57:10	2016-02-01 07:57:12	noise1	
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	2	Traer informacion estudiante - banner	2016-02-01 06:38:40	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:00:58	role0	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:08:25	role0	
S	0	1	Noise_40	2016-02-01 07:27:45	2016-02-01 08:00:00	2016-02-01 08:22:56	noise4	
S	0	5	Traer informacion estudiante - banner	2016-02-01 08:23:47	2016-02-01 08:23:47	2016-02-01 08:23:48	role0	
S	0	6	Traer informacion estudiante - banner	2016-02-01 08:24:01	2016-02-01 08:24:01	2016-02-01 08:24:02	role0	
S	0	4	Noise_40	2016-02-01 07:29:04	2016-02-01 08:00:00	2016-02-01 08:24:46	noise4	
S	0	7	Traer informacion estudiante - banner	2016-02-01 08:26:13	2016-02-01 08:26:13	2016-02-01 08:26:14	role0	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 08:24:02	2016-02-01 08:24:02	2016-02-01 08:27:20	role0	
S	0	8	Noise_00	2016-02-01 08:29:53	2016-02-01 08:29:53	2016-02-01 08:29:54	noise0	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 08:23:48	2016-02-01 08:23:48	2016-02-01 08:32:53	role0	
S	0	7	Radicar Solicitud Homologacion	2016-02-01 08:26:14	2016-02-01 08:26:14	2016-02-01 08:34:45	role0	
S	0	8	Noise_01	2016-02-01 08:29:54	2016-02-01 08:29:54	2016-02-01 08:36:51	noise0	
S	0	9	Traer informacion estudiante - banner	2016-02-01 08:46:54	2016-02-01 08:46:54	2016-02-01 08:46:55	role0	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 08:46:55	2016-02-01 08:46:55	2016-02-01 08:51:25	role0	
S	0	10	Traer informacion estudiante - banner	2016-02-01 09:03:02	2016-02-01 09:03:02	2016-02-01 09:03:03	role0	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 09:03:03	2016-02-01 09:03:03	2016-02-01 09:03:12	role0	
S	0	8	Noise_20	2016-02-01 08:36:51	2016-02-01 08:36:51	2016-02-01 09:03:38	noise2	
S	0	11	Traer informacion estudiante - banner	2016-02-01 09:23:48	2016-02-01 09:23:48	2016-02-01 09:23:49	role0	
S	0	2	Validar solicitud	2016-02-01 08:00:58	2016-02-01 09:00:00	2016-02-01 09:26:38	role2	
S	0	9	Validar solicitud	2016-02-01 08:51:25	2016-02-01 09:00:00	2016-02-01 09:29:27	role2	
S	0	7	Validar solicitud	2016-02-01 08:34:45	2016-02-01 09:00:00	2016-02-01 09:30:24	role2	
S	0	6	Validar solicitud	2016-02-01 08:27:20	2016-02-01 09:00:00	2016-02-01 09:30:54	role2	
S	0	12	Traer informacion estudiante - banner	2016-02-01 09:31:53	2016-02-01 09:31:53	2016-02-01 09:31:54	role0	
S	0	8	Noise_40	2016-02-01 09:03:38	2016-02-01 09:03:38	2016-02-01 09:32:31	noise4	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 09:23:49	2016-02-01 09:23:49	2016-02-01 09:34:20	role0	
S	0	12	Radicar Solicitud Homologacion	2016-02-01 09:31:54	2016-02-01 09:31:54	2016-02-01 09:36:04	role0	
S	0	5	Cancelar Solicitud	2016-02-01 08:32:53	2016-02-01 09:00:00	2016-02-01 09:53:55	role1	
S	0	5	Notificacion estudiante cancelacion soli	2016-02-01 09:53:55	2016-02-01 09:53:55	2016-02-01 09:53:56	role1	
S	0	13	Traer informacion estudiante - banner	2016-02-01 09:58:24	2016-02-01 09:58:24	2016-02-01 09:58:25	role0	
S	0	0	Cancelar Solicitud	2016-02-01 08:08:25	2016-02-01 09:00:00	2016-02-01 10:00:40	role1	
S	0	0	Notificacion estudiante cancelacion soli	2016-02-01 10:00:40	2016-02-01 10:00:40	2016-02-01 10:00:42	role1	
S	0	10	Cancelar Solicitud	2016-02-01 09:03:12	2016-02-01 09:03:12	2016-02-01 10:01:06	role1	
S	0	10	Notificacion estudiante cancelacion soli	2016-02-01 10:01:06	2016-02-01 10:01:06	2016-02-01 10:01:07	role1	
S	0	11	Validar solicitud	2016-02-01 09:34:20	2016-02-01 09:34:20	2016-02-01 10:03:57	role2	
S	0	12	Validar solicitud	2016-02-01 09:36:04	2016-02-01 09:36:04	2016-02-01 10:06:14	role2	
S	0	13	Radicar Solicitud Homologacion	2016-02-01 09:58:25	2016-02-01 09:58:25	2016-02-01 10:09:24	role0	
S	0	14	Traer informacion estudiante - banner	2016-02-01 10:10:31	2016-02-01 10:10:31	2016-02-01 10:10:32	role0	
S	0	14	Radicar Solicitud Homologacion	2016-02-01 10:10:32	2016-02-01 10:10:32	2016-02-01 10:17:16	role0	
S	0	8	Noise_50	2016-02-01 09:03:38	2016-02-01 09:03:38	2016-02-01 10:23:51	noise5	
S	0	16	Traer informacion estudiante - banner	2016-02-01 10:35:12	2016-02-01 10:35:12	2016-02-01 10:35:13	role0	
S	0	16	Radicar Solicitud Homologacion	2016-02-01 10:35:13	2016-02-01 10:35:13	2016-02-01 10:44:12	role0	
S	0	18	Traer informacion estudiante - banner	2016-02-01 10:54:37	2016-02-01 10:54:37	2016-02-01 10:54:38	role0	
S	0	19	Traer informacion estudiante - banner	2016-02-01 10:55:00	2016-02-01 10:55:00	2016-02-01 10:55:01	role0	
S	0	18	Radicar Solicitud Homologacion	2016-02-01 10:54:38	2016-02-01 10:54:38	2016-02-01 10:55:32	role0	
S	0	13	Cancelar Solicitud	2016-02-01 10:09:24	2016-02-01 10:09:24	2016-02-01 10:59:22	role1	
S	0	13	Notificacion estudiante cancelacion soli	2016-02-01 10:59:22	2016-02-01 10:59:22	2016-02-01 10:59:23	role1	
S	0	19	Radicar Solicitud Homologacion	2016-02-01 10:55:01	2016-02-01 10:55:01	2016-02-01 11:00:45	role0	
S	0	14	Cancelar Solicitud	2016-02-01 10:17:16	2016-02-01 10:17:16	2016-02-01 11:10:52	role1	
S	0	14	Notificacion estudiante cancelacion soli	2016-02-01 11:10:52	2016-02-01 11:10:52	2016-02-01 11:10:54	role1	
S	0	20	Traer informacion estudiante - banner	2016-02-01 11:21:28	2016-02-01 11:21:28	2016-02-01 11:21:29	role0	
S	0	18	Validar solicitud	2016-02-01 10:55:32	2016-02-01 10:55:32	2016-02-01 11:22:29	role2	
S	0	2	Homologacion por grupo de cursos	2016-02-01 09:26:38	2016-02-01 09:26:38	2016-02-01 11:24:43	role3	
S	0	19	Validar solicitud	2016-02-01 11:00:45	2016-02-01 11:00:45	2016-02-01 11:27:41	role2	
S	0	9	Homologacion por grupo de cursos	2016-02-01 09:29:27	2016-02-01 09:29:27	2016-02-01 11:28:58	role3	
S	0	20	Radicar Solicitud Homologacion	2016-02-01 11:21:29	2016-02-01 11:21:29	2016-02-01 11:29:00	role0	
S	0	6	Homologacion por grupo de cursos	2016-02-01 09:30:54	2016-02-01 09:30:54	2016-02-01 11:30:14	role3	
S	0	22	Traer informacion estudiante - banner	2016-02-01 11:31:49	2016-02-01 11:31:49	2016-02-01 11:31:50	role0	
