Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	1	Traer informacion estudiante - banner	2016-02-01 06:00:59	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	2	Traer informacion estudiante - banner	2016-02-01 06:38:40	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	3	Traer informacion estudiante - banner	2016-02-01 06:42:19	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	4	Traer informacion estudiante - banner	2016-02-01 07:01:25	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	1	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:00:58	role0	
S	0	3	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:03:18	role0	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:08:25	role0	
S	0	4	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:08:31	role0	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:09:05	role0	
S	0	5	Traer informacion estudiante - banner	2016-02-01 08:23:47	2016-02-01 08:23:47	2016-02-01 08:23:48	role0	
S	0	6	Traer informacion estudiante - banner	2016-02-01 08:24:01	2016-02-01 08:24:01	2016-02-01 08:24:02	role0	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 08:24:02	2016-02-01 08:24:02	2016-02-01 08:24:11	role0	
S	0	7	Traer informacion estudiante - banner	2016-02-01 08:26:13	2016-02-01 08:26:13	2016-02-01 08:26:14	role0	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 08:23:48	2016-02-01 08:23:48	2016-02-01 08:28:18	role0	
S	0	8	Traer informacion estudiante - banner	2016-02-01 08:29:53	2016-02-01 08:29:53	2016-02-01 08:29:54	role0	
S	0	8	Radicar Solicitud Homologacion	2016-02-01 08:29:54	2016-02-01 08:29:54	2016-02-01 08:34:04	role0	
S	0	7	Radicar Solicitud Homologacion	2016-02-01 08:26:14	2016-02-01 08:26:14	2016-02-01 08:36:45	role0	
S	0	9	Traer informacion estudiante - banner	2016-02-01 08:46:54	2016-02-01 08:46:54	2016-02-01 08:46:55	role0	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 08:46:55	2016-02-01 08:46:55	2016-02-01 08:57:54	role0	
S	0	10	Traer informacion estudiante - banner	2016-02-01 09:03:02	2016-02-01 09:03:02	2016-02-01 09:03:03	role0	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 09:03:03	2016-02-01 09:03:03	2016-02-01 09:09:47	role0	
S	0	11	Traer informacion estudiante - banner	2016-02-01 09:23:48	2016-02-01 09:23:48	2016-02-01 09:23:49	role0	
S	0	1	Validar solicitud	2016-02-01 08:00:58	2016-02-01 09:00:00	2016-02-01 09:26:38	role2	
S	0	6	Validar solicitud	2016-02-01 08:24:11	2016-02-01 09:00:00	2016-02-01 09:29:27	role2	
S	0	8	Validar solicitud	2016-02-01 08:34:04	2016-02-01 09:00:00	2016-02-01 09:29:37	role2	
S	0	7	Validar solicitud	2016-02-01 08:36:45	2016-02-01 09:00:00	2016-02-01 09:30:10	role2	
S	0	2	Validar solicitud	2016-02-01 08:09:05	2016-02-01 09:00:00	2016-02-01 09:30:24	role2	
S	0	0	Validar solicitud	2016-02-01 08:08:25	2016-02-01 09:00:00	2016-02-01 09:30:54	role2	
S	0	12	Traer informacion estudiante - banner	2016-02-01 09:31:53	2016-02-01 09:31:53	2016-02-01 09:31:54	role0	
S	0	12	Radicar Solicitud Homologacion	2016-02-01 09:31:54	2016-02-01 09:31:54	2016-02-01 09:32:47	role0	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 09:23:49	2016-02-01 09:23:49	2016-02-01 09:32:48	role0	
S	0	9	Cancelar Solicitud	2016-02-01 08:57:54	2016-02-01 09:00:00	2016-02-01 09:49:57	role1	
S	0	9	Notificacion estudiante cancelacion soli	2016-02-01 09:49:57	2016-02-01 09:49:57	2016-02-01 09:49:58	role1	
S	0	4	Cancelar Solicitud	2016-02-01 08:08:31	2016-02-01 09:00:00	2016-02-01 09:53:55	role1	
S	0	4	Notificacion estudiante cancelacion soli	2016-02-01 09:53:55	2016-02-01 09:53:55	2016-02-01 09:53:56	role1	
S	0	5	Cancelar Solicitud	2016-02-01 08:28:18	2016-02-01 09:00:00	2016-02-01 09:57:54	role1	
S	0	5	Notificacion estudiante cancelacion soli	2016-02-01 09:57:54	2016-02-01 09:57:54	2016-02-01 09:57:55	role1	
S	0	13	Traer informacion estudiante - banner	2016-02-01 09:58:24	2016-02-01 09:58:24	2016-02-01 09:58:25	role0	
S	0	11	Validar solicitud	2016-02-01 09:32:48	2016-02-01 09:32:48	2016-02-01 09:59:45	role2	
S	0	3	Cancelar Solicitud	2016-02-01 08:03:18	2016-02-01 09:00:00	2016-02-01 10:00:40	role1	
S	0	3	Notificacion estudiante cancelacion soli	2016-02-01 10:00:40	2016-02-01 10:00:40	2016-02-01 10:00:42	role1	
S	0	10	Cancelar Solicitud	2016-02-01 09:09:47	2016-02-01 09:09:47	2016-02-01 10:03:23	role1	
S	0	10	Notificacion estudiante cancelacion soli	2016-02-01 10:03:23	2016-02-01 10:03:23	2016-02-01 10:03:25	role1	
S	0	13	Radicar Solicitud Homologacion	2016-02-01 09:58:25	2016-02-01 09:58:25	2016-02-01 10:04:08	role0	
S	0	14	Traer informacion estudiante - banner	2016-02-01 10:10:31	2016-02-01 10:10:31	2016-02-01 10:10:32	role0	
S	0	14	Radicar Solicitud Homologacion	2016-02-01 10:10:32	2016-02-01 10:10:32	2016-02-01 10:18:03	role0	
S	0	11	Revisar curso	2016-02-01 09:59:45	2016-02-01 10:00:00	2016-02-01 10:22:21	role4	
S	0	12	Cancelar Solicitud	2016-02-01 09:32:47	2016-02-01 09:32:47	2016-02-01 10:29:38	role1	
S	0	12	Notificacion estudiante cancelacion soli	2016-02-01 10:29:38	2016-02-01 10:29:38	2016-02-01 10:29:39	role1	
S	0	13	Validar solicitud	2016-02-01 10:04:08	2016-02-01 10:04:08	2016-02-01 10:31:04	role2	
