Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	1	Noise_00	2016-02-01 08:00:59	2016-02-01 08:00:59	2016-02-01 08:01:01	noise0	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:08:25	role0	
S	0	1	Noise_01	2016-02-01 08:01:01	2016-02-01 08:01:01	2016-02-01 08:08:42	noise0	
S	0	1	Noise_20	2016-02-01 08:08:42	2016-02-01 08:08:42	2016-02-01 08:36:28	noise2	
S	0	2	Traer informacion estudiante - banner	2016-02-01 08:38:40	2016-02-01 08:38:40	2016-02-01 08:38:41	role0	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 08:38:41	2016-02-01 08:38:41	2016-02-01 08:39:38	role0	
S	0	3	Noise_00	2016-02-01 08:42:19	2016-02-01 08:42:19	2016-02-01 08:42:21	noise0	
S	0	3	Noise_01	2016-02-01 08:42:21	2016-02-01 08:42:21	2016-02-01 08:49:26	noise0	
S	0	1	Noise_40	2016-02-01 08:36:28	2016-02-01 08:36:28	2016-02-01 08:59:24	noise4	
S	0	0	Validar solicitud	2016-02-01 08:08:25	2016-02-01 09:00:00	2016-02-01 09:26:38	role2	
S	0	3	Noise_10	2016-02-01 08:49:26	2016-02-01 08:49:26	2016-02-01 09:46:37	noise1	
S	0	3	Noise_11	2016-02-01 09:46:37	2016-02-01 09:46:37	2016-02-01 09:46:39	noise1	
S	0	2	Cancelar Solicitud	2016-02-01 08:39:38	2016-02-01 09:00:00	2016-02-01 10:00:40	role1	
S	0	2	Notificacion estudiante cancelacion soli	2016-02-01 10:00:40	2016-02-01 10:00:40	2016-02-01 10:00:42	role1	
S	0	5	Traer informacion estudiante - banner	2016-02-01 10:23:47	2016-02-01 10:23:47	2016-02-01 10:23:48	role0	
S	0	6	Traer informacion estudiante - banner	2016-02-01 10:24:01	2016-02-01 10:24:01	2016-02-01 10:24:02	role0	
S	0	7	Traer informacion estudiante - banner	2016-02-01 10:26:13	2016-02-01 10:26:13	2016-02-01 10:26:14	role0	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 10:24:02	2016-02-01 10:24:02	2016-02-01 10:27:20	role0	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 10:23:48	2016-02-01 10:23:48	2016-02-01 10:32:53	role0	
S	0	7	Radicar Solicitud Homologacion	2016-02-01 10:26:14	2016-02-01 10:26:14	2016-02-01 10:34:45	role0	
S	0	9	Traer informacion estudiante - banner	2016-02-01 10:46:54	2016-02-01 10:46:54	2016-02-01 10:46:55	role0	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 10:46:55	2016-02-01 10:46:55	2016-02-01 10:51:25	role0	
S	0	6	Validar solicitud	2016-02-01 10:27:20	2016-02-01 10:27:20	2016-02-01 10:58:14	role2	
S	0	10	Traer informacion estudiante - banner	2016-02-01 11:03:02	2016-02-01 11:03:02	2016-02-01 11:03:03	role0	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 11:03:03	2016-02-01 11:03:03	2016-02-01 11:03:12	role0	
S	0	7	Validar solicitud	2016-02-01 10:34:45	2016-02-01 10:34:45	2016-02-01 11:05:09	role2	
S	0	9	Validar solicitud	2016-02-01 10:51:25	2016-02-01 10:51:25	2016-02-01 11:20:52	role2	
S	0	11	Traer informacion estudiante - banner	2016-02-01 11:23:48	2016-02-01 11:23:48	2016-02-01 11:23:49	role0	
S	0	0	Homologacion por grupo de cursos	2016-02-01 09:26:38	2016-02-01 09:26:38	2016-02-01 11:24:43	role3	
S	0	5	Cancelar Solicitud	2016-02-01 10:32:53	2016-02-01 10:32:53	2016-02-01 11:26:48	role1	
S	0	5	Notificacion estudiante cancelacion soli	2016-02-01 11:26:48	2016-02-01 11:26:48	2016-02-01 11:26:49	role1	
S	0	12	Traer informacion estudiante - banner	2016-02-01 11:31:53	2016-02-01 11:31:53	2016-02-01 11:31:54	role0	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 11:23:49	2016-02-01 11:23:49	2016-02-01 11:34:20	role0	
