Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 02:00:00	2016-02-01 02:00:01	resource012345_1	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 02:00:01	2016-02-01 02:00:01	2016-02-01 02:07:05	resource012345_1	
S	0	1	Traer informacion estudiante - banner	2016-02-01 03:03:47	2016-02-01 04:00:00	2016-02-01 04:00:01	resource0_2	
S	0	2	Traer informacion estudiante - banner	2016-02-01 03:06:20	2016-02-01 04:00:01	2016-02-01 04:00:02	resource0_2	
S	0	3	Traer informacion estudiante - banner	2016-02-01 03:14:49	2016-02-01 04:00:02	2016-02-01 04:00:03	resource0_2	
S	0	4	Traer informacion estudiante - banner	2016-02-01 03:19:03	2016-02-01 04:00:03	2016-02-01 04:00:04	resource0_2	
S	0	5	Traer informacion estudiante - banner	2016-02-01 03:20:37	2016-02-01 04:00:04	2016-02-01 04:00:06	resource0_2	
S	0	6	Traer informacion estudiante - banner	2016-02-01 03:49:59	2016-02-01 04:00:06	2016-02-01 04:00:07	resource0_2	
S	0	0	Cancelar Solicitud	2016-02-01 02:07:05	2016-02-01 02:07:05	2016-02-01 04:02:36	resource012345_1	resource1_2	
S	0	0	Notificacion estudiante cancelacion soli	2016-02-01 04:02:36	2016-02-01 04:02:36	2016-02-01 04:02:37	resource1_2	
S	0	1	Radicar Solicitud Homologacion	2016-02-01 04:00:01	2016-02-01 04:00:07	2016-02-01 04:05:27	resource0_2	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 04:00:02	2016-02-01 04:05:27	2016-02-01 04:06:03	resource0_2	
S	0	3	Radicar Solicitud Homologacion	2016-02-01 04:00:03	2016-02-01 04:06:03	2016-02-01 04:18:51	resource0_2	
S	0	4	Radicar Solicitud Homologacion	2016-02-01 04:00:04	2016-02-01 04:18:51	2016-02-01 04:21:49	resource0_2	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 04:00:06	2016-02-01 04:21:49	2016-02-01 04:28:52	resource0_2	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 04:00:07	2016-02-01 04:28:52	2016-02-01 04:36:02	resource0_2	
S	0	7	Traer informacion estudiante - banner	2016-02-01 04:04:42	2016-02-01 04:36:02	2016-02-01 04:36:03	resource0_2	
S	0	8	Traer informacion estudiante - banner	2016-02-01 04:05:56	2016-02-01 04:36:03	2016-02-01 04:36:05	resource0_2	
S	0	9	Traer informacion estudiante - banner	2016-02-01 04:18:02	2016-02-01 04:36:05	2016-02-01 04:36:06	resource0_2	
S	0	10	Traer informacion estudiante - banner	2016-02-01 04:18:48	2016-02-01 04:36:06	2016-02-01 04:36:07	resource0_2	
S	0	11	Traer informacion estudiante - banner	2016-02-01 04:34:51	2016-02-01 04:36:07	2016-02-01 04:36:08	resource0_2	
S	0	7	Radicar Solicitud Homologacion	2016-02-01 04:36:03	2016-02-01 04:36:08	2016-02-01 04:37:22	resource0_2	
S	0	8	Radicar Solicitud Homologacion	2016-02-01 04:36:05	2016-02-01 04:37:22	2016-02-01 04:44:10	resource0_2	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 04:36:06	2016-02-01 04:44:10	2016-02-01 04:44:55	resource0_2	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 04:36:07	2016-02-01 04:44:55	2016-02-01 04:50:22	resource0_2	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 04:36:08	2016-02-01 04:50:22	2016-02-01 04:51:25	resource0_2	
S	0	12	Traer informacion estudiante - banner	2016-02-01 04:44:49	2016-02-01 04:51:25	2016-02-01 04:51:26	resource0_2	
S	0	12	Radicar Solicitud Homologacion	2016-02-01 04:51:26	2016-02-01 04:51:26	2016-02-01 04:53:08	resource0_2	
S	0	13	Traer informacion estudiante - banner	2016-02-01 05:04:35	2016-02-01 05:04:35	2016-02-01 05:04:36	resource0_2	
S	0	4	Cancelar Solicitud	2016-02-01 04:21:49	2016-02-01 04:21:49	2016-02-01 05:10:16	resource1_2	
S	0	13	Radicar Solicitud Homologacion	2016-02-01 05:04:36	2016-02-01 05:04:36	2016-02-01 05:17:31	resource0_2	
S	0	14	Traer informacion estudiante - banner	2016-02-01 05:07:41	2016-02-01 05:17:31	2016-02-01 05:17:33	resource0_2	
S	0	15	Traer informacion estudiante - banner	2016-02-01 05:13:16	2016-02-01 05:17:33	2016-02-01 05:17:34	resource0_2	
S	0	14	Radicar Solicitud Homologacion	2016-02-01 05:17:33	2016-02-01 05:17:34	2016-02-01 05:22:38	resource0_2	
S	0	15	Radicar Solicitud Homologacion	2016-02-01 05:17:34	2016-02-01 05:22:38	2016-02-01 05:31:44	resource0_2	
S	0	16	Traer informacion estudiante - banner	2016-02-01 05:18:22	2016-02-01 05:31:44	2016-02-01 05:31:45	resource0_2	
